animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,quadruped
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
housefly,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
herring,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
lobster,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
mink,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
moth,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0
haddock,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
frog,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
lark,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
flea,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0
toad,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0
termite,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0
gnat,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0
wasp,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0
crab,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1
crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0
polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0
