animal,predator,airborne,milk,feathers,catsize,fins
aardvark,1,0,1,0,1,0
antelope,0,0,1,0,1,0
bass,1,0,0,0,0,1
bear,1,0,1,0,1,0
boar,1,0,1,0,1,0
buffalo,0,0,1,0,1,0
calf,0,0,1,0,1,0
carp,0,0,0,0,0,1
catfish,1,0,0,0,0,1
cavy,0,0,1,0,0,0
cheetah,1,0,1,0,1,0
chicken,0,1,0,1,0,0
chub,1,0,0,0,0,1
clam,1,0,0,0,0,0
crab,1,0,0,0,0,0
crayfish,1,0,0,0,0,0
crow,1,1,0,1,0,0
deer,0,0,1,0,1,0
dogfish,1,0,0,0,1,1
dolphin,1,0,1,0,1,1
dove,0,1,0,1,0,0
duck,0,1,0,1,0,0
elephant,0,0,1,0,1,0
flamingo,0,1,0,1,1,0
flea,0,0,0,0,0,0
frog,1,0,0,0,0,0
frog,1,0,0,0,0,0
fruitbat,0,1,1,0,0,0
giraffe,0,0,1,0,1,0
girl,1,0,1,0,1,0
gnat,0,1,0,0,0,0
goat,0,0,1,0,1,0
gorilla,0,0,1,0,1,0
gull,1,1,0,1,0,0
haddock,0,0,0,0,0,1
hamster,0,0,1,0,0,0
hare,0,0,1,0,0,0
hawk,1,1,0,1,0,0
herring,1,0,0,0,0,1
honeybee,0,1,0,0,0,0
housefly,0,1,0,0,0,0
kiwi,1,0,0,1,0,0
ladybird,1,1,0,0,0,0
lark,0,1,0,1,0,0
leopard,1,0,1,0,1,0
lion,1,0,1,0,1,0
lobster,1,0,0,0,0,0
lynx,1,0,1,0,1,0
mink,1,0,1,0,1,0
mole,1,0,1,0,0,0
mongoose,1,0,1,0,1,0
moth,0,1,0,0,0,0
newt,1,0,0,0,0,0
octopus,1,0,0,0,1,0
opossum,1,0,1,0,0,0
oryx,0,0,1,0,1,0
ostrich,0,0,0,1,1,0
parakeet,0,1,0,1,0,0
penguin,1,0,0,1,1,0
pheasant,0,1,0,1,0,0
pike,1,0,0,0,1,1
piranha,1,0,0,0,0,1
pitviper,1,0,0,0,0,0
platypus,1,0,1,0,1,0
polecat,1,0,1,0,1,0
pony,0,0,1,0,1,0
porpoise,1,0,1,0,1,1
puma,1,0,1,0,1,0
pussycat,1,0,1,0,1,0
raccoon,1,0,1,0,1,0
reindeer,0,0,1,0,1,0
rhea,1,0,0,1,1,0
scorpion,1,0,0,0,0,0
seahorse,0,0,0,0,0,1
seal,1,0,1,0,1,1
sealion,1,0,1,0,1,1
seasnake,1,0,0,0,0,0
seawasp,1,0,0,0,0,0
skimmer,1,1,0,1,0,0
skua,1,1,0,1,0,0
